Seq,ID,Channel,SYRS_ID,Category,Requirement,Source_ID,Source_Title,Distilled_Evidence,Similarity,Label_Relevant_YN,Notes
50,N-SYRS.0994,NHTSA,SYRS.0994,IO_HMI,"""The SSU signal path (60028798) shall transition from 'Open' to 'Closed' state within 500 ms when actuated at a position 5 mm from the cap edge (off-center) with an actuating speed of 1.0 mm/s",11508600,HONDA CIVIC 2022 [STEERING],"trigger:after ~30 minutes of driving, during slight left/right steering input | behavior:steering system should provide smooth, low-effort rotational response to driver input; instead, it exhibits high resistance followed by sudden release (stick-slip behavior), with transient near-locking sensation | fault_mode:state-stuck",0.5925,Y,
51,N-SYRS.0862_B,NHTSA,SYRS.0862_B,Functional_Safety,"""The System shall monitor the Plausibility (Consistency) between Log_Switch_1 and Log_Switch_2: 1. Discrepancy Detection: If Log_Switch_1 != Log_Switch_2. 2. Confirmation Window: If Discrepancy persists for > 1000ms (T_Plausibility). 3. Action: - Set 'EPB_Switch_Implausible' Fault (DTC 0xXXXXXX). - ",11541230,TOYOTA COROLLA 2022 [POWER TRAIN],"trigger:vehicle at stop light with air conditioning system activated | behavior:engine idle should remain stable; instead, vehicle shook indicating unstable idle or torque fluctuation | fault_mode:timing-violation",0.5999,Y,
52,N-SYRS.0656_A_B,NHTSA,SYRS.0656_A_B,Body_Control,"""The FES shall execute the display shutdown and animation suppression defined in SYRS.0656_A_A within 100 ms of the last triggering condition being met",11507910,"TOYOTA COROLLA 2022 [ELECTRICAL SYSTEM,ENGINE]","trigger:driver depresses accelerator pedal during vehicle operation, especially during critical maneuvers (e.g., crossing divided highway, pulling into traffic) | behavior:ECU should translate pedal position to appropriate engine torque output in real time; instead, throttle response is delayed by ~5–6 seconds or absent, and engine unexpectedly stalls and restarts without warning | fault_mode:timi",0.515,Y,
53,N-SYRS.0131_B_A,NHTSA,SYRS.0131_B_A,Body_Control,"""The system shall confirm the 'Rain Cessation' status IF the detected precipitation intensity remains continuously below 0.1 mm/h (Threshold_Rain_Stop) for $\ge$ 30.0 seconds. Any momentary breach of this threshold shall reset the stability timer to 0",11511343,"TOYOTA COROLLA 2022 [POWER TRAIN,ELECTRICAL SYSTEM]","trigger:Vehicle stopped at traffic light during rainy conditions, after ~15 seconds of idle | behavior:Expected: EPS system to maintain assist and remain operational; Actual: EPS warning ('low steering power'), battery warning, steering lock engagement, and failure of engine stop button to respond (no shutdown on first press, required multiple presses and gear shift to park to restart) | fault_mod",0.6144,Y,
54,G-SYRS.0460_B_A,GitHub,SYRS.0460_B_A,Communication_Stack,"""The system shall transmit an 'ESL_BCM_RESPONSE' message with NACK = UNK_FAIL IF AND ONLY IF the 'T_Unlock_ESL' timer expires AND 'SteeringLockMotorStatus.info' is 'Undefined_Position_Sts",pylessard/python-can-isotp#129,"Complete event not set when ""blocking_send"" set to True","trigger:isotp.CanStack with blocking_send=True, single-frame transmission | behavior:Expected: send() returns after successful transmission; Observed: send() times out because active_send_request.complete(True) is never called when tx_state is IDLE and generator is depleted | fault_mode:missing response",0.6017,N,
55,G-SYRS.0458_B_A,GitHub,SYRS.0458_B_A,Communication_Stack,"""The system shall transmit an 'ESL_BCM_RESPONSE' message containing FBK = UNK_OK if AND only if the 'T_Unlock_ESL' timer expires AND 'SteeringLockMotorStatus.info' is 'Unlock_Sts",pylessard/python-can-isotp#129,"Complete event not set when ""blocking_send"" set to True","trigger:isotp.CanStack with blocking_send=True, single-frame transmission | behavior:Expected: send() returns after successful transmission; Observed: send() times out because active_send_request.complete(True) is never called when tx_state is IDLE and generator is depleted | fault_mode:missing response",0.6143,N,
56,N-SYRS.0155_A_A,NHTSA,SYRS.0155_A_A,Body_Control,"""The system shall support the configuration of 'Wiper Architecture Type' via NVM parameter (DID: 0x40B2): 1. Value 0x01: Synchronized (Parallel); 2. Value 0x02: Opposed (Butterfly). The Rain Sensor shall adapt its output control strategy (e.g., LIN frame data mapping) to match the selected architect",11653413,TOYOTA COROLLA 2022 [VISIBILITY/WIPER],trigger:rainy weather condition requiring wiper activation | behavior:wipers were expected to operate continuously in response to rain sensor input or driver command but stopped functioning entirely | fault_mode:no-response,0.6241,Y,
57,N-SYRS.0797_C_B,NHTSA,SYRS.0797_C_B,IO_HMI,"""The FES shall update the display to 'Volume_IdleView' within 500 ms after the logical conditions in SYRS.0797_C_A are satisfied",11541230,TOYOTA COROLLA 2022 [POWER TRAIN],"trigger:vehicle at stop light with air conditioning system activated | behavior:engine idle should remain stable; instead, vehicle shook indicating unstable idle or torque fluctuation | fault_mode:timing-violation",0.5372,Y,
58,N-SYRS.0184_B,NHTSA,SYRS.0184_B,Body_Control,"""The system shall control the Low Beam Headlamps based on the calibrated thresholds: 1. ON: If Ambient_Light < CAL_AmbLight_ON_Thres for > 2s; 2. OFF: If Ambient_Light > CAL_AmbLight_OFF_Thres for > 5s. The switching accuracy shall be within ±5 lux of the calibrated value",11557628,TOYOTA CAMRY 2022 [EXTERIOR LIGHTING],"trigger:activation of high beams or ignition key turn-on | behavior:low beam LEDs should remain steadily illuminated during high beam operation and remain off/stable in ignition-on state; instead, both low beams flash intermittently — more severely on right front — and a diagnostic message indicates left front LED headlight fault | fault_mode:state-stuck",0.6347,Y,
59,N-SYRS.0231_B_B,NHTSA,SYRS.0231_B_B,Functional_Safety,"""Whenever the system is in 'Error State' (or a Confirmed Fault is present), it shall set the 'LIN Signal Qualification Bit' to value 0 (Invalid)",11668956,TOYOTA CAMRY 2021 [AIR BAGS],trigger:starting the vehicle | behavior:air bag warning light should not illuminate during startup if system is functional; it illuminated indicating a fault condition | fault_mode:sensor-error,0.5384,Y,
60,N-SYRS.1136,NHTSA,SYRS.1136,Functional_Safety,"""The SCCM left stalk system shall detect signal failures (Short Circuit, Open Circuit, or Implausible Value) and transition to the defined Safe State (e.g., 'Invalid' signal status) within the Fault Reaction Time Interval (FRTI) derived from ASIL B goals",11541230,TOYOTA COROLLA 2022 [POWER TRAIN],"trigger:vehicle at stop light with air conditioning system activated | behavior:engine idle should remain stable; instead, vehicle shook indicating unstable idle or torque fluctuation | fault_mode:timing-violation",0.5985,Y,
61,G-SYRS.0539_C_B,GitHub,SYRS.0539_C_B,Diagnostics_DCM,"""The ESCL shall process the RDI $200C$ request and transmit the positive response within 50 ms (P2_Server_Max) of receiving the valid request",pylessard/python-udsoncan#171,the logging module and can data are inconsistent,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x03 (extendedDiagnosticSession), under ISO-TP transport, after successful ECUReset and ReadDataByIdentifier | behavior:Expected positive response (0x50 0x03) or negative response (e.g., 0x7F 0x10 NRC) within P2 server timeout (15 s); instead, no ISO-TP frame received — silent absence of response | fault_mode:timeout violation",0.6309,N,
62,G-SYRS.0853,GitHub,SYRS.0853,Diagnostics_DEM,"""The FES shall detect the timeout of message 'Systeminfo_01' (0x585) if the message is absent for a duration exceeding 60 ms, and shall set a corresponding Diagnostic Trouble Code (DTC)",pylessard/python-udsoncan#171,the logging module and can data are inconsistent,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x03 (extendedDiagnosticSession), under ISO-TP transport, after successful ECUReset and ReadDataByIdentifier | behavior:Expected positive response (0x50 0x03) or negative response (e.g., 0x7F 0x10 NRC) within P2 server timeout (15 s); instead, no ISO-TP frame received — silent absence of response | fault_mode:timeout violation",0.6931,N,
63,N-SYRS.0374_A,NHTSA,SYRS.0374_A,Functional_Safety,"""The system shall implement a safety override logic that forces the Operational State to 'Ignition_On' if and only if 'ESL_OperationalModeSts.info' is 'SNA' (Signal Not Available) AND 'INT.Info' is 'Active",11683993,"TOYOTA CAMRY 2021 [EXTERIOR LIGHTING,FUEL/PROPULSION SYSTEM,FORWARD COLLISION AVOIDANCE]",trigger:activation of air conditioning system | behavior:engine maintenance required warning light should not illuminate during normal operation; it erroneously illuminated when A/C was turned on and extinguished when A/C was turned off | fault_mode:false-activation,0.6109,Y,
64,G-SYRS.1155_A_A,GitHub,SYRS.1155_A_A,Diagnostics_DEM,"""The system shall set the CAN signal 'SCCM_turnIndicatorStalkStatus' to 'IDLE' if the left stalk angle position is detected as strictly outside the inclusive range [FAULT_DOWN, FAULT_UP] for a continuous duration of at least 50 ms (Plausibility Debounce Time)",hardbyte/python-can#1755,SYSTEC: sending remote frame does not respect dlc value,trigger:SYSTEC CAN interface send() with is_remote_frame=True and dlc=8 | behavior:Expected remote frame transmission with DLC=8; observed remote frame transmitted with DLC=0 | fault_mode:protocol non-compliance,0.5924,N,
65,N-SYRS.0641_A_A,NHTSA,SYRS.0641_A_A,IO_HMI,"""If a request to change the Control Layer is detected as failed (per SYRS 223902), the FES shall revert the display to the Layer identified by the current value of the 'LC_FES_Aktiv_Ebene_SOLL' signal",11617748,"TOYOTA COROLLA 2022 [ELECTRICAL SYSTEM,SERVICE BRAKES]",trigger:driver attempting to reverse the vehicle | behavior:expected: automatic emergency braking (AEB) system to be operational and ready during reverse; actual: AEB system disabled with 'Automatic Brake not Available' warning displayed | fault_mode:false-activation,0.5672,Y,
66,N-SYRS.0948_A,NHTSA,SYRS.0948_A,System_State,"""The system shall identify and configure itself as the 'EPB Low-Version' variant when the Variant Coding Data (DID 0xF1A0) is set to value 0x01",11498393,HONDA CIVIC 2022 [FUEL/PROPULSION SYSTEM],"trigger:Fuel cap not properly secured or faulty fuel cap causing evaporative emissions system leak detection failure | behavior:ECU expected to monitor EVAP system integrity and remain silent if within tolerance; instead, it activated MIL (Malfunction Indicator Lamp) with 'power may be reduced' warning and stored an OBD-II diagnostic trouble code (e.g., P0455/P0456) indicating large/small EVAP lea",0.527,Y,
67,G-SYRS.0075,GitHub,SYRS.0075,Communication_Stack,The ECU shall abort the current transmission session if the transmission of any CAN frame (Protocol Data Unit) takes longer than 2000 ms (N_As timeout) due to bus congestion,pylessard/python-udsoncan#242,Transport layer frame capture problem,"trigger:CAN bus load >80% at 250 kbps with multiple ECUs active, causing IsoTP frame loss during UDS ECU Reset or flash operations | behavior:Expected: IsoTP layer reliably captures and reassembles segmented CAN-TP frames (N_PCI + payload) under load. Observed: IsoTP layer fails to receive complete frames within P2 timeout (12 sec), resulting in UDS client timeout and missing responses. | fault_mo",0.7093,N,
68,N-SYRS.0241_C_A,NHTSA,SYRS.0241_C_A,Body_Control,"""If a 'Rain Sensor Electronic Fault' (detected via LIN Diagnostic Frame or internal HW monitoring) is active, the system shall set the LIN signal 'RS_Regenmenge' to value 15 (Invalid/Error) and register the corresponding Diagnostic Trouble Code (DTC)",11483672,TOYOTA COROLLA 2022 [VISIBILITY],"trigger:driving at approximately 15 MPH | behavior:blind spot sensor integrated in passenger-side mirror should remain functional and structurally intact; instead, mirror shattered and air bag warning light illuminated (indicating related ECU fault detection or bus communication error) | fault_mode:sensor-error",0.5854,Y,
69,G-SYRS.1130_B_B,GitHub,SYRS.1130_B_B,Communication_Stack,"""The system shall transmit the event-based 'SCCM_leftStalk' message (triggered by SYRS.1130_B_A) within 5ms of the post-debounce event",pylessard/python-udsoncan#237,Slow response on Windows for transfer data,"trigger:ISO-TP transfer data service (0x36) with NotifierBasedCanStack on Windows | behavior:Expected: minimal delay (~0–10ms) between positive response to TransferData request and transmission of next consecutive frame, per ISO-TP timing requirements (STmin=0, blocksize=32); Observed: ~150ms fixed inter-frame delay despite STmin=0 and custom busy-wait function | fault_mode:timing violation",0.5642,N,
70,G-SYRS.0692_A,GitHub,SYRS.0692_A,Diagnostics_DCM,"""IF the CommunicationControl (0x28) service requests the activation of transmission and reception, THEN the server shall enable both transmission and reception of messages",pylessard/python-udsoncan#96,CommunicationControl issue with 0x80 control_type,"trigger:UDS CommunicationControl service (0x28) with control_type=0x80 (128) in request | behavior:Expected: UDS ISO 14229-1 allows control_type values up to 0xFF, including 0x80 for 'enableRxAndTx'; Observed: client library rejects 0x80 with ValueError, enforcing incorrect 0x0–0x7F range | fault_mode:protocol non-compliance",0.6209,N,
71,G-SYRS.1140_A,GitHub,SYRS.1140_A,Diagnostics_DEM,"""The System shall set the 'TSAngleSpeedInvalid' (SCCM_a122) fault to 'Active' (TestFailed bit = 1) within 100 ms if the 'Left_Stalk_Angle_Speed' exceeds the threshold of [SPEED_LIMIT_MAX] (3.0 degrees/ms)",pylessard/python-udsoncan#102,How to increase delay between 0x36 transfer,"trigger:ISO-TP transfer flow control configuration during UDS 0x36 (RequestDownload) service execution, with squash_stmin_requirement=True causing excessive CF transmission rate | behavior:Expected: ISO-TP stack to respect receiver's STmin (32ms inter-frame spacing) or allow configurable minimum inter-CF delay. Observed: Stack transmits consecutive frames (CFs) too rapidly (<1ms), violating the re",0.5558,N,
72,N-SYRS.0828,NHTSA,SYRS.0828,IO_HMI,"""The FES rotary button mechanism shall transition into the rest position (Raststellung) with a mechanical bounce (axial displacement) strictly not exceeding 0.1 mm",11578965,HONDA CIVIC 2022 [STEERING],"trigger:minor steering adjustment after prolonged lack of wheel movement, at speeds above 40 mph, ambient temperature 35–55°F, and after ~20 minutes of driving | behavior:EPS system was expected to provide smooth, proportional assist torque for small steering inputs; instead, steering wheel became temporarily stuck in position requiring abnormally high driver-applied torque to initiate movement | ",0.5753,Y,
73,G-SYRS.0510_B,GitHub,SYRS.0510_B,Diagnostics_DCM,"""In non-default sessions ($02, $03), the system shall monitor the S3Server timer (Config: 5000 ms). If no diagnostic request (including $3E 80) is received within 5000 ms, the system SHALL automatically revert to 'Default Session' ($01) and reset all active security authorizations",pylessard/python-udsoncan#274,"""How to Continuously Send 3E Service Requests like CANOE: Is There a Configurable Switch or Is Multi-threading Required?""","trigger:UDS service 0x3E (Tester Present) with subfunction 0x80 (suppress response) in bootload session, requiring periodic transmission to maintain session timeout | behavior:Expected: built-in configurable periodic transmission of 0x3E 0x80 requests (like CANoe's 'continuous tester present'); Observed: no native auto-repeating mechanism — user must implement external timing/multi-threading | fau",0.6733,N,
74,N-SYRS.0159,NHTSA,SYRS.0159,Body_Control,"When the Rain Sensor is Inactive (and NOT in Undervoltage, Overvoltage, Overtemperature, or Cranking states), the system shall set the LIN signal 'RS_versParklageWischer' to the initialization value of 0x02 (Lower Parking Position)within 100 ms",11653413,TOYOTA COROLLA 2022 [VISIBILITY/WIPER],trigger:rainy weather condition requiring wiper activation | behavior:wipers were expected to operate continuously in response to rain sensor input or driver command but stopped functioning entirely | fault_mode:no-response,0.6423,Y,
75,N-SYRS.0139_D_A,NHTSA,SYRS.0139_D_A,Body_Control,"""The system shall set the LIN signal 'RS_versParklageWischer' to the initialization value of 0x02 (Lower Parking Position) when the Rain Sensor is Inactive AND the system is NOT in any of the following states: Undervoltage, Overvoltage, Overtemperature, or Cranking",11653413,TOYOTA COROLLA 2022 [VISIBILITY/WIPER],trigger:rainy weather condition requiring wiper activation | behavior:wipers were expected to operate continuously in response to rain sensor input or driver command but stopped functioning entirely | fault_mode:no-response,0.6184,Y,
76,N-SYRS.0089_A,NHTSA,SYRS.0089_A,IO_HMI,"""If the 'Navi' button is detected as pressed (after debounce), the system shall set the CAN signal 'CTRL_C_Stat1_AR::NaviKey_Psd' to TRUE (0x01)",11446571,"HONDA CIVIC 2022 [VEHICLE SPEED CONTROL,FORWARD COLLISION AVOIDANCE]","trigger:vehicle operating in cruise control mode (adaptive or conventional) on interstate traffic | behavior:cruise control and automatic headlight dimming should remain active and stable; instead, both functions intermittently deactivate without warning, no DTCs or alerts, and cannot be re-engaged until full ignition cycle reset (stop → park → ignition off → restart) | fault_mode:state-stuck",0.5444,Y,
77,G-SYRS.0224_B,GitHub,SYRS.0224_B,Diagnostics_DCM,"""The total duration of consecutive NRC $78 transmissions for a single diagnostic request SHALL NOT exceed 10 seconds. If the task is not completed within this limit, the system SHALL return NRC $10 (GeneralReject) and clear the diagnostic buffer",pylessard/python-udsoncan#73,P2* timeout not used after RequestCorrectlyReceived_ResponsePending,"trigger:reception of 0x78 NRC (RequestCorrectlyReceived_ResponsePending) during UDS diagnostic session | behavior:expected: overall timeout timer (P Client) reloaded with P2* value per ISO 14229-2:2013 Figure 10; observed: only single-response timeout updated, overall_timeout_time not updated, causing premature timeout | fault_mode:timing violation",0.6975,N,
78,N-SYRS.1046_B,NHTSA,SYRS.1046_B,IO_HMI,"""The FES display shall provide a pixel resolution of at least 400 pixels (Horizontal) x 400 pixels (Vertical)",11483672,TOYOTA COROLLA 2022 [VISIBILITY],"trigger:driving at approximately 15 MPH | behavior:blind spot sensor integrated in passenger-side mirror should remain functional and structurally intact; instead, mirror shattered and air bag warning light illuminated (indicating related ECU fault detection or bus communication error) | fault_mode:sensor-error",0.4775,Y,
79,N-SYRS.0961_A,NHTSA,SYRS.0961_A,IO_HMI,"""The EPB-rocker mechanism shall mechanically actuate the underlying switching elements when the specified actuation force is applied at the extreme lateral edges of the rocker surface",11618950,"HONDA CIVIC 2022 [STEERING,STRUCTURE]","trigger:vehicle operation at unspecified speed | behavior:EPS gearbox was expected to operate silently and maintain steering assist; instead, a rubbing sound occurred, indicating mechanical degradation or misalignment in the EPS system | fault_mode:mechanical-failure",0.564,Y,
80,N-SYRS.0189_A,NHTSA,SYRS.0189_A,Body_Control,"""The system shall implement a time-based filter for automatic headlight activation. Headlights shall be switched ON if and only if the Ambient Light intensity remains continuously below the Activation_Threshold (per SYRS_0180) for a duration $\ge$ 2000 ms. Any light intensity recovery above the thre",11683993,"TOYOTA CAMRY 2021 [EXTERIOR LIGHTING,FUEL/PROPULSION SYSTEM,FORWARD COLLISION AVOIDANCE]",trigger:activation of air conditioning system | behavior:engine maintenance required warning light should not illuminate during normal operation; it erroneously illuminated when A/C was turned on and extinguished when A/C was turned off | fault_mode:false-activation,0.6135,Y,
81,G-SYRS.0693_B,GitHub,SYRS.0693_B,Communication_Stack,"""The FES bus initialization shall complete within T_Bus_Init_Max (e.g., 150 ms) after the system transitions from a non-default diagnostic session to the Default Session (0x01)",hardbyte/python-can#1798,can not send the can FD message,"trigger:EtasBus initialization with fd=True and bitrate=500000 on ETAS 582.1 hardware interface | behavior:Expected CAN FD frame transmission (with extended data length and optional bit rate switching) but observed classical CAN (CAN 2.0) frames only — no FD arbitration or data phase, confirmed visually in trace | fault_mode:protocol non-compliance",0.6577,N,
82,N-SYRS.0449_C_A,NHTSA,SYRS.0449_C_A,System_State,"""When the ESCL detects 'Lock_Sts' during the locking phase, the system shall set the 'STEER_LOCK1.ESLSts' signal value to 'Locked",11510808,"TOYOTA COROLLA 2022 [ELECTRICAL SYSTEM,ENGINE]","trigger:vehicle coming to a stop at a stoplight | behavior:ECU should maintain power steering assist and engine idle stability; instead, engine stalled, power steering assist failed (causing wheel lock), and warning indicators (power steering low, check engine) activated erroneously or as consequence of fault | fault_mode:state-stuck",0.627,Y,
83,G-SYRS.1020_B,GitHub,SYRS.1020_B,Diagnostics_DCM,"""The system shall respond to RID $1008 within P2_Server_Max (50 ms). Any diagnostic attempt to modify or access restricted DIDs/RIDs individually (via SID $22, $2E, $31) while in 'LOCKED' state SHALL be rejected with NRC $33 (SecurityAccessDenied)",pylessard/python-udsoncan#80,P2 timeout time issue,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x02, following successful 0x03 session; server sends pending NRC (0x78) within <10ms | behavior:Expected: client to reset P2 timer upon receiving 0x78 pending response and wait for final response before P2* timeout; observed: client times out despite valid pending response arriving well within P2 (typically 5000ms) or P2* (typic",0.6948,N,
84,N-SYRS.0473_B,NHTSA,SYRS.0473_B,Functional_Safety,"""The ESCL shall maintain the last valid 'VinLock' status (masking any signal loss) as long as EITHER of the following conditions is true: 1) The 'Missing Message Count' is less than or equal to the calibrated threshold 'P_Max_Missing_Cycles', OR 2) The 'VinOrig' is set to the default unprogrammed va",11510808,"TOYOTA COROLLA 2022 [ELECTRICAL SYSTEM,ENGINE]","trigger:vehicle coming to a stop at a stoplight | behavior:ECU should maintain power steering assist and engine idle stability; instead, engine stalled, power steering assist failed (causing wheel lock), and warning indicators (power steering low, check engine) activated erroneously or as consequence of fault | fault_mode:state-stuck",0.5852,Y,
85,N-SYRS.0147_B_A,NHTSA,SYRS.0147_B_A,Body_Control,"""The system shall resume rain amount calculation within 100 ms after the 'Splash Wipe Cycle' has fully completed",11653413,TOYOTA COROLLA 2022 [VISIBILITY/WIPER],trigger:rainy weather condition requiring wiper activation | behavior:wipers were expected to operate continuously in response to rain sensor input or driver command but stopped functioning entirely | fault_mode:no-response,0.5987,Y,
86,N-SYRS.0191_B,NHTSA,SYRS.0191_B,Body_Control,"""The system shall activate the tunnel lighting with an execution latency deviating no more than ±50 ms from the calibrated target delay defined for the current vehicle speed",11519843,BMW 5 SERIES 2022 [FORWARD COLLISION AVOIDANCE],trigger:vehicle traveling at 35-40 mph in clear weather with no obstacles present | behavior:system was expected to remain inactive (no warning or braking) but instead erroneously issued forward collision warning and applied full automatic emergency braking | fault_mode:false-activation,0.6104,Y,
87,G-SYRS.0538_C_A,GitHub,SYRS.0538_C_A,Diagnostics_DCM,"""The ESCL shall respond to RDI $200B with a 4-byte value encoded in Motorola (Big-Endian) format, representing the system uptime or timestamp in minutes",ecubus/EcuBus-Pro#139,[求助] ZLG 配置UDS问题,"trigger:UDS over CAN FD using ZLG USB-CANFD 200U device with extended addressing and BRS enabled | behavior:Expected: UDS request (e.g., ReadDataByIdentifier) sent → timely positive response or standard NRC; Observed: consistent receive timeout (no response received within expected time window) | fault_mode:missing response",0.5721,N,
88,N-SYRS.0254,NHTSA,SYRS.0254,Functional_Safety,"""The system design shall ensure Freedom From Interference (FFI) such that single-point electrical faults (Short-to-Ground, Short-to-Battery, Open Circuit) within the Solar Sensor interface do not propagate to or degrade the performance of the Rain, Light, or Humidity sensors",11690264,"BMW 5 SERIES 2022 [LANE DEPARTURE,BACK OVER PREVENTION,FORWARD COLLISION AVOIDANCE]","trigger:normal vehicle operation with sensor exposure to environmental conditions | behavior:sensors should reliably detect lane boundaries, rear obstacles, and forward collision threats and provide timely, accurate warnings; instead, they fail intermittently or permanently, resulting in missing or spurious warnings | fault_mode:sensor-error",0.5635,Y,
89,G-SYRS.0542_B,GitHub,SYRS.0542_B,Diagnostics_DCM,"""The system shall respond to $2939 request within P2_Server_Time (50 ms). If the 'Lifecycle_Flag' NVM integrity check (CRC-16) fails, the system SHALL return NRC $72 (GeneralProgrammingFailure) to inhibit the transmission of an incorrect state identifier",pylessard/python-udsoncan#73,P2* timeout not used after RequestCorrectlyReceived_ResponsePending,"trigger:reception of 0x78 NRC (RequestCorrectlyReceived_ResponsePending) during UDS diagnostic session | behavior:expected: overall timeout timer (P Client) reloaded with P2* value per ISO 14229-2:2013 Figure 10; observed: only single-response timeout updated, overall_timeout_time not updated, causing premature timeout | fault_mode:timing violation",0.6669,N,
90,G-SYRS.1035_D_A,GitHub,SYRS.1035_D_A,Diagnostics_DCM,"""The stored reset event counters (Data Identifier P_Reset_Counter_DID) shall be readable via the UDS Service 0x22 (Read Data By Identifier)",pylessard/python-udsoncan#186,ReadDataByIdentifier.py TimeoutException Did not receive response in time,"trigger:UDS ReadDataByIdentifier (0x22) service request with DID 0x0001, p2_timeout=5.0s | behavior:Client expected positive response (0x62 0x00 0x01 ...) within P2 timeout; server sent correct positive response (06 62 00 01 00 00 00 00), but client timed out before receiving it | fault_mode:timeout violation",0.704,N,
91,N-SYRS.0137_B_A,NHTSA,SYRS.0137_B_A,Body_Control,"""IF the 'Vehicle_Speed' exceeds 200 km/h AND 'Wiper_Sensitivity' is Level 2, THEN the system shall set the intermittent wiper interval to 24.0 s. 1. Hysteresis: The interval shall revert to the lower-speed setting only when speed drops below 195 km/h. 2. Fail-safe: If the speed signal is invalid/SNA",11424302,TOYOTA CAMRY 2021 [VISIBILITY/WIPER],"trigger:activation of windshield wiper high-speed setting during adverse weather conditions (rain/snow) | behavior:wipers expected to operate at industry-typical maximum speed sufficient for safe visibility; instead operated at approximately half the expected speed, resulting in inadequate clearing and compromised driver visibility | fault_mode:performance-degradation",0.6708,Y,
92,G-SYRS.0836_A,GitHub,SYRS.0836_A,Diagnostics_DEM,"""The DEM shall implement a Time-Based Healing Strategy for the 'CommunicationFailureAL' fault. 1. Monitoring Condition: The signal 'AL_Color_Config' is received with 'Valid' quality AND matches the plausibility definition in [SYRS_60027445]. 2. Debounce Timer: The system shall increment a timer when",ecubus/EcuBus-Pro#218,[BUG] LIN刷写过程中，3C报文发送完成后，出现不发3D的情况,trigger:LIN firmware flashing sequence: after successful transmission of LIN frame ID 0x3C (diagnostic request) | behavior:expected: ECU responds with LIN frame ID 0x3D (diagnostic response) per LIN protocol and UDS-over-LIN timing requirements; observed: no 0x3D frame transmitted by ECU | fault_mode:missing response,0.5755,N,
93,G-SYRS.0460_B_B,GitHub,SYRS.0460_B_B,Communication_Stack,"""The system shall execute the transmission defined in SYRS.0460_B_A within 10 ms of the last triggering condition being met",hardbyte/python-can#1176,10ms periodic CAN frame exported in 17 ms,trigger:CAN cyclic send task with 10ms period using python-can PCAN backend | behavior:Expected periodic transmission every 10ms (± tolerance); observed ~17ms interval — indicating significant timing drift beyond typical OS scheduling jitter or hardware timer resolution limits | fault_mode:timing violation,0.5908,N,
94,G-SYRS.0470_B_B,GitHub,SYRS.0470_B_B,Communication_Stack,"""The ESL shall complete the acquisition and storage of the 'CLUSTER1.TotalOdometer' signal (defined in SYRS.0470_B_A) within 500 ms of the first-time VinOrig setting",pylessard/python-udsoncan#171,the logging module and can data are inconsistent,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x03 (extendedDiagnosticSession), under ISO-TP transport, after successful ECUReset and ReadDataByIdentifier | behavior:Expected positive response (0x50 0x03) or negative response (e.g., 0x7F 0x10 NRC) within P2 server timeout (15 s); instead, no ISO-TP frame received — silent absence of response | fault_mode:timeout violation",0.5586,N,
95,N-SYRS.0260,NHTSA,SYRS.0260,Functional_Safety,"""The ECU shall execute a Built-In Self-Test (BIST) of the Stack Overflow/Underflow monitoring mechanism during the startup initialization sequence to detect latent faults",11639587,"HONDA CIVIC 2022 [LANE DEPARTURE,FORWARD COLLISION AVOIDANCE]","trigger:vehicle startup after normal daytime operation | behavior:ECU systems (Lane Keeping Assist, Collision Mitigation Braking, Road Departure Mitigation, Auto High Beam, Adaptive Cruise Control) were expected to initialize and operate normally; instead, all five related warning lights illuminated indicating system deactivation or fault detection | fault_mode:state-stuck",0.6042,Y,
96,G-SYRS.0549_A_A,GitHub,SYRS.0549_A_A,Diagnostics_DCM,"""The ESCL shall respond to RDI $F185 (ApplicationDataFingerprint) with a 13-byte data payload containing the following fields in order: Module ID (1 byte, 0x01), Tester Serial Number (9 bytes), and Programming Date (3 bytes, YYMMDD format)",pylessard/python-udsoncan#215,WriteDataByIdentifier service execution returned a negative response IncorrectMessageLengthOrInvalidFormat (0x13) when data length is correct,trigger:WriteDataByIdentifier (0x2E) service request with correct data length in bytes format | behavior:Expected: positive response or appropriate NRC for actual validation failure; Observed: NRC 0x13 (IncorrectMessageLengthOrInvalidFormat) despite correct data length | fault_mode:wrong NRC,0.5689,Y,
97,G-SYRS.1018_B_B,GitHub,SYRS.1018_B_B,Diagnostic_Services,"""The system shall respond to the execution of RID 0x1008 within 50 ms. If the security preconditions (e.g., Security Access $27 L1 already unlocked) are not met, the system shall return NRC $33 (SecurityAccessDenied)",pylessard/python-udsoncan#107,Question about timeout,"trigger:UDS SecurityAccess service (service ID 0x27, subfunction 0x01) during programming session with custom security algorithm | behavior:Expected: client sends 0x30 response (security access request seed) within ~900ms as per first device; Observed: second device requires 0x30 response within 10–20ms, but udsoncan client's default IsoTP stack timing (e.g., stmin, N_As, N_Br) and UDS request_tim",0.7069,Y,
